"Repository","URL","Description","Stars","Language","LastUpdated","FoundIn","SearchType"
"kittyg80/2Market-Sales-and-Customer-Data-Analysis","https://github.com/kittyg80/2Market-Sales-and-Customer-Data-Analysis","This was the first project I completed as part of the LSE Data Analytics Career Accelerator course (2022 - 2023), for which I achieved a mark of 88% (distinction).","0","Not specified","2023-11-07T00:59:13Z","Repository Search","Name/Description/README"
"kittyg80/kittyg80","https://github.com/kittyg80/kittyg80","About me","0","Not specified","2023-11-07T03:40:51Z","Repository Search","Name/Description/README"
"kittyg80/NHS-Data-Analysis","https://github.com/kittyg80/NHS-Data-Analysis","This was the second assignment I completed as part of the LSE Data Analytics Career Accelerator course, for which I achieved a mark of 88% (distinction). I used Python for this project.","0","Jupyter Notebook","2023-11-07T01:02:28Z","Repository Search + Code Search","Multiple"
"kittyg80/Turtle-Games","https://github.com/kittyg80/Turtle-Games","This was the third assignment I completed as part of the LSE Data Analytics Career Accelerator course, for which I achieved a mark of 89% (distinction). I used Python and R for this project.","0","Jupyter Notebook","2025-04-26T00:24:50Z","Repository Search","Name/Description/README"
"KrispyPi/DA301-Predicting-future-outcomes","https://github.com/KrispyPi/DA301-Predicting-future-outcomes","","0","Jupyter Notebook","2023-01-07T20:41:57Z","Repository Search","Name/Description/README"
"KrispyPi/LSE_DA_NHS_Analytics","https://github.com/KrispyPi/LSE_DA_NHS_Analytics","Repo to cover the analysis on NHS data as part of the LSE Data Analytics program ","0","Jupyter Notebook","2022-11-02T23:32:00Z","Repository Search","Name/Description/README"
"leela-b/TurtleGames_data_analysis","https://github.com/leela-b/TurtleGames_data_analysis","","0","Jupyter Notebook","2022-09-11T15:59:38Z","Repository Search","Name/Description/README"
"LOkhani22/2Market","https://github.com/LOkhani22/2Market","Exploratory data analysis and insights from the 2Market project, part of the LSE Data Analytics programme.","0","Not specified","2025-04-18T14:32:36Z","Repository Search","Name/Description/README"
"LottiMonika/LSE-Data-Analytics","https://github.com/LottiMonika/LSE-Data-Analytics","","0","Jupyter Notebook","2025-06-06T12:37:22Z","Repository Search + Code Search","Multiple"
"lukebart/2Market_Campaign_Analysis","https://github.com/lukebart/2Market_Campaign_Analysis","LSE Data Analytics Assignment 1","0","Not specified","2025-06-14T02:06:34Z","Repository Search","Name/Description/README"
"lukebart/NHS_Missed_GP_Appointments","https://github.com/lukebart/NHS_Missed_GP_Appointments","LSE Data Analytics Assignment 2","0","Jupyter Notebook","2023-09-25T13:49:39Z","Repository Search","Name/Description/README"
"lukebart/Turtle_Games_Sales_Analysis","https://github.com/lukebart/Turtle_Games_Sales_Analysis","LSE Data Analytics Assignment 3","0","Jupyter Notebook","2023-09-25T13:51:38Z","Repository Search","Name/Description/README"
"maeenmohammed2027/2Market-Customer-Insights-Project","https://github.com/maeenmohammed2027/2Market-Customer-Insights-Project","LSE data analytics project using Excel, SQL, and Tableau to analyze customer behavior, income, and marketing performance for a fictional retail brand.","0","Not specified","2025-06-09T07:56:35Z","Repository Search","Name/Description/README"
"Matteo-Natalini/Python_activities","https://github.com/Matteo-Natalini/Python_activities","","","","","Code Search","Code Content"
"Mattia-Bieler/LSE_Data_Analytics_Career_Accelerator","https://github.com/Mattia-Bieler/LSE_Data_Analytics_Career_Accelerator","","0","Not specified","2025-09-01T13:04:02Z","Repository Search","Name/Description/README"
"Mattia-Bieler/Mattia-Bieler","https://github.com/Mattia-Bieler/Mattia-Bieler","","0","Not specified","2025-09-01T20:25:19Z","Repository Search","Name/Description/README"
"MichaelLogic/knowplans-education","https://github.com/MichaelLogic/knowplans-education","","","","","Code Search","Code Content"
"mikemitakidis/Team8-Assignment","https://github.com/mikemitakidis/Team8-Assignment","","0","Jupyter Notebook","2023-09-08T11:41:31Z","Repository Search","Name/Description/README"
"Mirasha-P/Mirasha-P","https://github.com/Mirasha-P/Mirasha-P","Config files for my GitHub profile.","0","Not specified","2025-07-01T13:56:57Z","Repository Search","Name/Description/README"
"mszeszo/practical_activity_6.2.8","https://github.com/mszeszo/practical_activity_6.2.8","Repository for practical activity 6.2.8 in the LSE Data Analytics Career Accelerator","0","Jupyter Notebook","2023-05-17T18:07:13Z","Repository Search","Name/Description/README"
"murbaracho/2_Market_Project","https://github.com/murbaracho/2_Market_Project","Final report, Tableau dashboard (.twbx), anonymized cleaned datasets, R scripts, and portfolio reflection from LSE Data Analytics for Business project exploring customer demographics and marketing insights.","0","Not specified","2025-04-30T12:49:53Z","Repository Search","Name/Description/README"
"murbaracho/monicabaracho","https://github.com/murbaracho/monicabaracho","","","","","Code Search","Code Content"
"murbaracho/NHS-dashboard-","https://github.com/murbaracho/NHS-dashboard-","","","","","Code Search","Code Content"
"murbaracho/NHS-dashboard-project","https://github.com/murbaracho/NHS-dashboard-project","","","","","Code Search","Code Content"
"nanik-n/Bank-of-England-","https://github.com/nanik-n/Bank-of-England-","About In this project, I supported the Bank of England in analysing sentiment across policy speeches from 20192022 using text analytics. By applying FinBERT and exploring tone shifts by speaker and event, I translated central bank communication trends into insights that inform economic narrative and policy direction.","0","Not specified","2025-08-05T11:04:20Z","Repository Search","Name/Description/README"
"nanik-n/NHS","https://github.com/nanik-n/NHS","In this project, I supported the NHS in identifying patterns in appointment utilisation, staffing needs, and missed appointments using data analytics. By exploring large-scale healthcare data, I translated raw trends into actionable recommendationshelping inform smarter scheduling, reduce no-shows, and improve resource efficiency across the system","0","Jupyter Notebook","2025-08-05T11:14:00Z","Repository Search","Name/Description/README"
"nanik-n/TurtleGames","https://github.com/nanik-n/TurtleGames","In this project, I supported Turtle Games in identifying loyalty drivers, customer segments, and sentiment trends using data analytics. By analysing customer behaviour and review data, I translated patterns into actionable recommendationshelping refine targeting strategies, improve retention, and optimise loyalty campaigns.","0","Jupyter Notebook","2025-08-05T11:21:40Z","Repository Search","Name/Description/README"
"NgazoireRT/my_python_activity","https://github.com/NgazoireRT/my_python_activity","","0","Python","2023-07-02T09:08:00Z","Repository Search","Name/Description/README"
"NgazoireRT/NgazoireRT","https://github.com/NgazoireRT/NgazoireRT","Config files for my GitHub profile.","0","Not specified","2025-07-17T23:00:53Z","Repository Search","Name/Description/README"
"NgazoireRT/Week_2_lse_data_analytics","https://github.com/NgazoireRT/Week_2_lse_data_analytics","","0","Jupyter Notebook","2023-07-09T10:42:49Z","Repository Search","Name/Description/README"
"NgazoireRT/Week3_LSE_data_analytics","https://github.com/NgazoireRT/Week3_LSE_data_analytics","","0","Jupyter Notebook","2023-07-15T16:55:11Z","Repository Search","Name/Description/README"
"NgazoireRT/Week4_Lse_Data_analytics","https://github.com/NgazoireRT/Week4_Lse_Data_analytics","","0","Jupyter Notebook","2023-07-23T14:47:59Z","Repository Search","Name/Description/README"
"NgazoireRT/week5_LSE_Data_Analytics","https://github.com/NgazoireRT/week5_LSE_Data_Analytics","","0","Jupyter Notebook","2023-07-31T18:26:42Z","Repository Search","Name/Description/README"
"NgazoireRT/Week6_LSE_data_analytics","https://github.com/NgazoireRT/Week6_LSE_data_analytics","","0","Not specified","2023-07-31T18:39:38Z","Repository Search","Name/Description/README"
"OpenDocCN/geekdoc-blockchain-zh","https://github.com/OpenDocCN/geekdoc-blockchain-zh","","","","","Code Search","Code Content"
"patroytall/patrick-roy-me","https://github.com/patroytall/patrick-roy-me","","","","","Code Search","Code Content"
"philbest82/NHS_Analysis","https://github.com/philbest82/NHS_Analysis","Analysis of NHS appointment data to assess whether capacity meets demand. Using Python, I explored patterns across time, regions, and service types. Findings showed weekday demand exceeds capacityespecially for GPsleading to strategic recommendations for workforce planning and efficiency.","0","Jupyter Notebook","2025-06-14T16:11:15Z","Repository Search","Name/Description/README"
"philbest82/Turtle_Games","https://github.com/philbest82/Turtle_Games","An end-to-end analytics project for Turtle Games using Python and R to explore loyalty data, build predictive models, segment customers, and analyze sentimentdelivering insights to support marketing and product strategy.","0","Jupyter Notebook","2025-06-14T15:32:44Z","Repository Search + Code Search","Multiple"
"pykenneth/python_anywhere","https://github.com/pykenneth/python_anywhere","","","","","Code Search","Code Content"
"Qshan888/LSE-Data-Analytics","https://github.com/Qshan888/LSE-Data-Analytics","Course Content","0","Jupyter Notebook","2024-09-02T22:28:00Z","Repository Search","Name/Description/README"
"RaoulER01/LSE_assignment_2_COVID_analysis","https://github.com/RaoulER01/LSE_assignment_2_COVID_analysis","This repository is created for the second assignment of the LSE data analytics course regarding data about covid.","0","Jupyter Notebook","2022-06-26T14:35:06Z","Repository Search","Name/Description/README"
"rohitabraham86/my_python_activity","https://github.com/rohitabraham86/my_python_activity","","","","","Code Search","Code Content"
"romeewee/Dinushi_Romeena_LSE301","https://github.com/romeewee/Dinushi_Romeena_LSE301","","","","","Code Search","Code Content"
"rrrichardz/LSE_DA_Assignemnt_COVID_analysis","https://github.com/rrrichardz/LSE_DA_Assignemnt_COVID_analysis","Assignment for course 2 with LSE Data Analytics - Career Accelerator Programme","0","Jupyter Notebook","2022-04-30T20:28:03Z","Repository Search","Name/Description/README"
"ryanmcnaney93/ryanmcnaney93","https://github.com/ryanmcnaney93/ryanmcnaney93","","0","Not specified","2023-10-18T17:25:11Z","Repository Search","Name/Description/README"
"Sarah7860/NHS-COVID-19-analysis","https://github.com/Sarah7860/NHS-COVID-19-analysis","practice for LSE Data Analytics Career Accelerator","0","Jupyter Notebook","2025-08-14T10:26:53Z","Repository Search","Name/Description/README"
"SauravChakers/My-bio","https://github.com/SauravChakers/My-bio","Course 2 1.1.11 Practical activity","0","Not specified","2022-06-03T17:59:16Z","Repository Search","Name/Description/README"
"Stav159/turtlegames-predictions","https://github.com/Stav159/turtlegames-predictions","Analyzed Turtle Games' (fictitious company) customer data using Python and R, creating visualizations and predictive models to boost sales performance","0","Jupyter Notebook","2024-09-15T22:45:13Z","Repository Search","Name/Description/README"
"Sujith-DA279/Sujith-DA279.github.io","https://github.com/Sujith-DA279/Sujith-DA279.github.io","","","","","Code Search","Code Content"
"suki-w/LSE_Thoughtworks_Project","https://github.com/suki-w/LSE_Thoughtworks_Project","","0","Jupyter Notebook","2023-06-03T21:10:19Z","Repository Search","Name/Description/README"
"Tamasb121/LSE_DA_NHS_analysis","https://github.com/Tamasb121/LSE_DA_NHS_analysis","LSE Data Analytics Course 2022/23: Assignment 2","0","Jupyter Notebook","2023-07-18T09:16:42Z","Repository Search","Name/Description/README"
"Tamasb121/LSE_DA_Turtle_Games_analysis","https://github.com/Tamasb121/LSE_DA_Turtle_Games_analysis","LSE Data Analytics Course 2022/23: Assignment 3","0","Jupyter Notebook","2023-07-10T06:53:43Z","Repository Search","Name/Description/README"
"Tamasb121/THOUGHTWORKS_DA_London_Cycling","https://github.com/Tamasb121/THOUGHTWORKS_DA_London_Cycling","PROPOSAL TO INCREASE CYCLING UPTAKE IN LONDON","0","Jupyter Notebook","2023-07-18T09:22:38Z","Repository Search","Name/Description/README"
"teamlse2022/Thoughtworks","https://github.com/teamlse2022/Thoughtworks","Repo for LSE Data Analytics Employer Project","0","Jupyter Notebook","2025-04-26T00:26:02Z","Repository Search + Code Search","Multiple"
"The-Ryan-Lin/AB_Testing","https://github.com/The-Ryan-Lin/AB_Testing","","","","","Code Search","Code Content"
"The-Ryan-Lin/BOE_Sentiment_Analysis","https://github.com/The-Ryan-Lin/BOE_Sentiment_Analysis","","","","","Code Search","Code Content"
"The-Ryan-Lin/lse_data_analytics_career_accelerator","https://github.com/The-Ryan-Lin/lse_data_analytics_career_accelerator","","0","Not specified","2023-11-02T16:32:45Z","Repository Search","Name/Description/README"
"The-Ryan-Lin/The-Ryan-Lin","https://github.com/The-Ryan-Lin/The-Ryan-Lin","","0","Not specified","2025-08-01T17:32:21Z","Repository Search + Code Search","Multiple"
"TilaniDW/2Market","https://github.com/TilaniDW/2Market","Analysed global customer purchasing behaviours to identify key revenue-driving marketing channels, product trends, and demographic insights. Utilised Excel, SQL, and Tableau to transform raw data into actionable business strategies.","0","Not specified","2025-03-02T12:33:18Z","Repository Search","Name/Description/README"
"TilaniDW/GroupProject","https://github.com/TilaniDW/GroupProject","Collaborative feasibility study analysing cost-saving potential of in-house delivery models. Applied Python, Tableau, and K-Means clustering to optimise fleet size, delivery routes, and operational efficiency, shaping real-world logistics strategy.","0","Not specified","2025-03-02T12:38:57Z","Repository Search","Name/Description/README"
"TilaniDW/NHS","https://github.com/TilaniDW/NHS","Combined structured NHS data and Twitter (X) analysis to optimise GP service efficiency and patient care. Python, Pandas, NumPy, Matplotlib, and Seaborn were used to deliver clear visual insights, enhancing healthcare decision-making.","0","Jupyter Notebook","2025-03-02T12:35:14Z","Repository Search","Name/Description/README"
"TilaniDW/Portfolio","https://github.com/TilaniDW/Portfolio","Here you will find all the projects I have done as a part of my LSE Data Analytics Career accelerator course","2","Not specified","2025-03-02T16:55:40Z","Repository Search","Name/Description/README"
"TilaniDW/TilaniDW","https://github.com/TilaniDW/TilaniDW","","0","Not specified","2025-03-02T12:50:38Z","Repository Search","Name/Description/README"
"TilaniDW/TurtleGames","https://github.com/TilaniDW/TurtleGames","Drove sales performance through predictive modelling and customer segmentation, using Python, R, and NLP techniques. Revealed customer spending patterns, loyalty predictors, and product sentiment insights for strategic marketing decisions.","0","Jupyter Notebook","2025-03-02T12:36:33Z","Repository Search","Name/Description/README"
"totoberni/LSE-DA101","https://github.com/totoberni/LSE-DA101","","","","","Code Search","Code Content"
"ttuncay/LSE_DA301_assignment_EDA_Tuna_Tuncay","https://github.com/ttuncay/LSE_DA301_assignment_EDA_Tuna_Tuncay","","0","Jupyter Notebook","2022-09-09T08:45:11Z","Repository Search","Name/Description/README"
"ttuncay/Tuncay_Tuna_LSE_Turtle_Games_Assignment","https://github.com/ttuncay/Tuncay_Tuna_LSE_Turtle_Games_Assignment","LSE Data Analytics Career Accelerator Module 3 Assigment","0","Jupyter Notebook","2022-09-09T08:26:46Z","Repository Search","Name/Description/README"
"ttuncay/Zoomo-Project_LEVeraging-Data-Team","https://github.com/ttuncay/Zoomo-Project_LEVeraging-Data-Team","LSE Data Analytics Career Accelerator Employer Project","1","Jupyter Notebook","2025-04-26T00:25:03Z","Repository Search + Code Search","Multiple"
"v-da-wb/portfolio","https://github.com/v-da-wb/portfolio","","","","","Code Search","Code Content"
"yofujino1/LSE_DA_NHS_analysis","https://github.com/yofujino1/LSE_DA_NHS_analysis","Assignment 2 - Passed with Distinction: Collaborating with the NHS, I used Python to analyze data on service utilization, staff capacity, and public opinion via Twitter. I refined business questions, conducted exploratory data analysis, and presented insights through visualizations and a detailed report to support NHS decision-making.","0","Jupyter Notebook","2024-06-24T23:31:23Z","Repository Search","Name/Description/README"
"yofujino1/LSE_DA_SQL_TABLEAU_2MARKET","https://github.com/yofujino1/LSE_DA_SQL_TABLEAU_2MARKET","","0","Not specified","2024-06-24T23:56:36Z","Repository Search","Name/Description/README"
"yofujino1/LSE_TABLEAU_R_PYTHON_TURTLEGAMES","https://github.com/yofujino1/LSE_TABLEAU_R_PYTHON_TURTLEGAMES","","0","Jupyter Notebook","2024-07-23T13:53:04Z","Repository Search","Name/Description/README"
"ypauzunova/Predictive_modelling_Customer_trends","https://github.com/ypauzunova/Predictive_modelling_Customer_trends","","","","","Code Search","Code Content"
